Pol	Godine	Visina	Tezina	Fizicka aktivnost	Sport	Minuti sporta	Ishrana	Kalorije	Voda
1	22	177	57	0		0	0	1300	1000
1	22	175	62	0		0	1	3000	2000
1	19	170	58	1	Trcanje	30	1	2000	2500
1	20	167	49	0		0	0	1500	2000
1	19	172	135	1	Setanje	60	0	3000	1000
1	22	167	59	0		0	1	2200	1000
1	20	175	56	0		0	1	1800	2500
0	24	189	92	1	Teretana	60	1	2500	3000
1	23	180	168	1	Fitnes, aerobik ili pilates	60	1	1500	2000
0	22	184	70	1		60	0	2000	2000
0	24	180	85	1	Teretana	120	0	2000	2000
1	22	167	69	0		0	1	1600	2500
0	22	173	67	1	teretana i fudbal	90	1	3500	4000
0	19	189	71	1	Fudbal	15	0	2500	1000
0	23	186	80	1	Fudbal	60	1	2500	3000
0	19	188	57	0		0	0	1500	1500
1	20	175	60	1	biciklizam	30	1	2200	3000
1	20	174	54	1	Fitnes, aerobik ili pilates	20	1	1500	5000
1	25	168	63	1	Fitnes, aerobik ili pilates	65	1	2500	2000
0	21	185	70	1	Kosarka	10	0	2000	1000
0	19	177	90	0	Teretana	30	0	3500	5000
0	23	185	80	1	Trcanje	30	1	3300	2000
1	23	169	70	0		15	0	2000	500
1	20	171	55	1	Trcanje	60	0	1800	1000
1	30	174	90	0		30	1	2800	2000
1	19	168	59	0		180	0	2000	3000
1	20	168	62	1	Trcanje	45	1	2200	3000
1	22	180	51	0		0	0	1800	1000
1	22	163	52	1	Teretana	30	0	2000	1500
0	21	195	98	1	Teretana	60	0	2000	2000
0	20	193	87	1	Teretana	20	1	3000	4000
1	21	180	67	1	Fitnes, aerobik ili pilates	30	1	2600	1000
1	20	165	59	0		0	0	2200	1000
1	19	165	55	0		20	1	1600	6000
1	19	181	69	0		0	0	2000	2000
1	20	170	60	0		0	1	2200	2000
0	26	200	89	1	Kosarka	120	1	3000	3500
1	22	168	50	1	Teretana	90	1	1500	750
1	20	190	70	1	Fitnes, aerobik ili pilates	90	1	2300	2000
1	22	170	65	1	Setnja, ako se to racuna	60	1	2000	1000
1	22	177	80	0		30	1	3300	2000
0	20	190	67	0	sah	15	1	2300	2500
0	22	174	67	1	Fitnes, aerobik ili pilates	30	0	2200	1500
0	27	185	95	0		20	1	2500	3000
1	19	162	62	1	Trcanje	45	1	2000	2500
1	20	160	80	1	Fitnes, aerobik ili pilates	30	0	3000	2000
1	22	173	66	1	Trcanje	20	0	1900	1500
0	20	168	60	1	Trcanje	45	1	2000	1500
1	22	174	59	0		30	1	1000	2000
1	21	169	59	1	Odbojka	60	1	1800	1500
1	23	167	78	1	Teretana	60	1	2000	2000
1	19	167	64	0		0	1	1500	1500
1	19	172	49	0		60	1	1200	2000
1	21	168	50	0		60	1	1500	1500
1	21	172	70	1	Ples	60	0	2800	1000
1	23	164	75	1	Teretana	30	0	3000	2000
1	22	160	65	0		0	0	2000	1000
1	22	169	63	1	Fitnes, aerobik ili pilates	60	0	2000	2000
1	22	169	63	1	Fitnes, aerobik ili pilates	60	0	2000	2000
1	21	165	57	0		0	0	2100	2000
1	23	165	78	1	Ples	60	0	1600	1000
1	24	167	62	0		0	0	2800	2000
1	22	179	81	1	Teretana	90	0	3500	1000
1	21	180	64	1	?????	45	1	2500	3000
1	20	168	56	0		20	0	2000	1000
1	21	179	60	0		0	0	1600	2000
1	23	175	63	1	Fitnes, aerobik ili pilates	70	0	2200	2000
1	20	162	58	0		0	1	2800	7000
1	22	180	60	0		0	0	2000	2000
1	24	168	62	1	Aikido	60	1	2000	2000
1	24	176	68	1	Trcanje	30	0	2500	1000
1	20	170	60	0		0	0	1500	750
1	20	180	90	0		0	0	3500	2000
1	21	173	70	0		0	0	2000	1000
1	24	168	70	0		0	0	2500	5000
0	22	181	73	1	Teretana	60	1	3000	1500
1	23	172	76	0		0	1	3000	1500
1	20	165	56	1	Fitnes, aerobik ili pilates	75	1	1000	1500
1	19	174	64	0		0	0	2000	3500
1	22	172	62	1	Teretana	45	1	2000	3000
1	21	167	53	1	Atletika	120	1	2500	2500
1	26	170	61	0		0	0	1200	500
1	20	166	60	0		60	0	3000	2000
1	26	167	90	0		0	0	2000	2000
1	24	170	58	1	Fitnes, aerobik ili pilates	60	0	1500	3000
1	22	173	55	1	setnja	60	0	1300	1000
1	20	173	70	0		30	1	3000	2000
1	24	174	80	0		0	0	2000	1000
1	20	174	73	1	Teretana	60	0	2800	2000
1	22	158	50	1	Fitnes, aerobik ili pilates	120	1	2000	2000
1	20	172	58	1	setnja	60	0	1000	500
1	19	173	60	0		0	0	1800	1000
1	23	172	59	0		60	1	2000	5000
1	25	173	63	1	joga	30	0	2.000	1500
1	21	169	56	0		0	0	2800	1000
0	29	185	76	1	Teretana	120	1	2500	2000
1	21	175	80	0		0	1	3500	1500
1	22	176	58	0		0	1	1800	500
1	20	165	70	1	Teretana	120	1	1500	3000
1	20	173	58	1	Teretana	45	0	2000	1000
1	20	165	52	1	Fitnes, aerobik ili pilates	60	1	2000	2000
0	20	185	72	0		20	0	3000	2000
0	23	197	115	1	Ples	90	0	2500	2000
1	23	172	63	0		0	0	2100	2000
1	21	161	56	1	Trcanje	40	0	2000	2000
1	23	172	63	1	Fitnes, aerobik ili pilates	40	0	3000	1500
1	23	171	70	0		20	0	3000	1500
1	20	171	54	0		0	0	1800	500
1	23	167	53	0		0	0	2000	1000
1	20	170	80	0		0	1	2000	1500
1	22	178	65	1	Fitnes, aerobik ili pilates	60	0	3000	3000
1	19	168	65	0		45	0	3000	1500
1	21	165	60	0		0	1	2500	2000
0	24	205	102	1	Kosarka	30	1	3500	1000
1	29	166	51	0		0	1	2000	1000
0	20	162	52	0		0	1	1800	1000
1	23	167	48	1	Fitnes, aerobik ili pilates	45	1	2000	1500
0	19	180	90	0		0	0	4000	1500
1	21	160	42	1	Trcanje	30	0	1000	5000
1	22	175	53	0		0	0	1800	3000
1	22	160	52	1	vezbe oblikovanja	15	1	2500	1500
1	21	171	49	0		0	0	1200	500
1	21	165	53	0		0	1	2000	2000
1	23	166	73	0		30	0	2000	2000
0	17	183	61	1	Kik boks	90	1	1500	3000
1	22	170	52	0		0	0	1200	1000
1	23	166	59	1	Teretana	120	1	1500	2000
0	21	169.5	70	1	Fitnes, aerobik ili pilates	60	1	2500	1500
0	21	172	61	1	Fudbal	90	1	1900	4000
1	19	178	60	0		0	0	1800	1500
1	22	164	52	1	Fitnes, aerobik ili pilates	45	1	1000	1500
